94.10 Landcode	94.11 Omschrijving	99.98 Datum ingang	99.99 Datum einde	Fictieve datum einde
9053	Muscat en Oman		19700809	
5047	Myanmar	19890618		
9023	Namibi\0xEB	19680131		
7057	Nauru			
6030	Nederland			
7058	Nederlands Nieuw-Guinea		19621001	
7011	Nederlandse Antillen		20101010	
9030	Nederlands-Indi\0xEB		19491227	
5085	Negri Sembilan		19460401	
6035	Nepal			
9000	Newfoundland		19910601	*
7018	Nicaragua			
7099	Nieuw-Caledoni\0xEB			
8033	Nieuwe Hebriden		19800730	
5013	Nieuw-Zeeland			
6040	Niger			
6005	Nigeria			
9091	Niue			
5016	Noord-Jemen		19900522	
6049	Noord-Korea	19450906		
7071	Noord-Rhodesi\0xEB		19641024	
6026	Noord-Vietnam	19450902	19760702	
6027	Noorwegen			
8016	Norfolk			
9001	Nyasaland		19640706	
6038	Oekra\0xEFne	19911231		
6050	Oezbekistan	19911231		
7051	Oman	19700809		
0	Onbekend			
5009	Oostenrijk			
9071	Oostenrijk-Hongarije		19910601	*
6046	Opper-Volta		19840804	
8006	Pacific-eilanden		19910601	*
5086	Pahang		19460401	
7020	Pakistan			
8044	Palau	19941001		
7060	Palestina		19480515	
7037	Panama			
8041	Panamakanaalzone			
8021	Papoea-Nieuw-Guinea	19750916		
5038	Paraguay			
5087	Perak		19460401	
5088	Perlis		19460401	
7049	Peru			
9017	Phoenixeilanden		19910601	*
5071	Pitcairneilanden			
7028	Polen			
7050	Portugal			
9072	Portugees Oost-Afrika		19750625	
9073	Portugees West-Afrika		19751111	
7063	Portugees-Afrika		19910601	*
9020	Portugees-Guinee		19740910	
5089	Portugees-Indi\0xEB		19611218	
6056	Portugees-Timor		19760717	
8020	Puerto Rico			
9037	Qatar			
7077	Ras al-Khaimah		19910601	*
5113	Republiek Noord-Macedoni\0xEB	20190212		
5073	R\0xE9union			
5004	Rhodesi\0xEB	19651111	19790601	
8004	Riukiu-eilanden		19910601	*
